mep_identifier,mep_honorific_prefix,mep_given_name,mep_family_name,mep_official_given_name,mep_official_family_name,mep_gender,mep_citizenship,mep_place_of_birth,mep_birthday,mep_death_date,mep_image,mep_email,mep_homepage,mep_twitter,mep_facebook_page,mep_facebook_profile,mep_instagram,mep_URI
1,Mr,Georg,Jarzembowski,,,male,Germany,Braunschweig,03/02/1947 01:00,,https://www.europarl.europa.eu/mepphoto/1.jpg,,,,,,,https://data.europarl.europa.eu/person/1
35,Ms,Brigitte,Langenhagen,,,female,Germany,Hamburg,08/12/1939 02:00,,https://www.europarl.europa.eu/mepphoto/35.jpg,,,,,,,https://data.europarl.europa.eu/person/35
234,Mr,Sérgio,Ribeiro,,,male,Portugal,Lisboa,21/12/1935 02:00,,https://www.europarl.europa.eu/mepphoto/234.jpg,,,,,,,https://data.europarl.europa.eu/person/234
357,Mr,John Alexander,Corrie,,,male,United Kingdom,Kirkcudbright (Scotland),29/07/1935 01:00,,https://www.europarl.europa.eu/mepphoto/357.jpg,,,,,,,https://data.europarl.europa.eu/person/357
698,Mr,Jacques,Santer,,,male,Luxembourg,Wasserbillig,18/05/1937 01:00,,https://www.europarl.europa.eu/mepphoto/698.jpg,,,,,,,https://data.europarl.europa.eu/person/698
714,Mr,Giorgio,Ruffolo,,,male,Italy,Roma,14/08/1926 01:00,,https://www.europarl.europa.eu/mepphoto/714.jpg,,,,,,,https://data.europarl.europa.eu/person/714
729,Mr,John,Purvis,,,male,United Kingdom,St. Andrews (Fife),06/07/1938 01:00,20/03/2022 01:00,https://www.europarl.europa.eu/mepphoto/729.jpg,,,,,,,https://data.europarl.europa.eu/person/729
840,Mr,Charles,Goerens,,,male,Luxembourg,Ettelbruck,06/02/1952 01:00,,https://www.europarl.europa.eu/mepphoto/840.jpg,mailto:charles.goerens@europarl.europa.eu,https://charlesgoerens.eu/,https://twitter.com/CharlesGoerens,https://www.facebook.com/charles.goerens,,https://www.instagram.com/cgoerens/?hl=fr,https://data.europarl.europa.eu/person/840
945,Ms,Nicole,Fontaine,,,female,France,Grainville-Ymauville (Seine-Maritime),16/01/1942 12:00,17/05/2018 12:00,https://www.europarl.europa.eu/mepphoto/945.jpg,,,,,,,https://data.europarl.europa.eu/person/945
953,Mr,Bartho,Pronk,,,male,Netherlands,Den Haag,28/09/1950 01:00,,https://www.europarl.europa.eu/mepphoto/953.jpg,,,,,,,https://data.europarl.europa.eu/person/953
966,Mr,Jean-Claude,Martinez,,,male,France,Sète,30/07/1945 12:00,,https://www.europarl.europa.eu/mepphoto/966.jpg,,,,,,,https://data.europarl.europa.eu/person/966
990,Mr,Enrico,Ferri,,,male,Italy,La Spezia,17/02/1942 12:00,17/12/2020 01:00,https://www.europarl.europa.eu/mepphoto/990.jpg,,,,,,,https://data.europarl.europa.eu/person/990
997,Mr,Francesco Enrico,Speroni,,,male,Italy,Busto Arsizio,04/10/1946 12:00,,https://www.europarl.europa.eu/mepphoto/997.jpg,,,,,,,https://data.europarl.europa.eu/person/997
1002,Mr,Marco,Pannella,,,male,Italy,Teramo,02/05/1930 12:00,19/05/2016 12:00,https://www.europarl.europa.eu/mepphoto/1002.jpg,,,,,,,https://data.europarl.europa.eu/person/1002
1007,Mr,Gianfranco,Fini,,,male,Italy,Bologna,03/01/1952 01:00,,https://www.europarl.europa.eu/mepphoto/1007.jpg,,,,,,,https://data.europarl.europa.eu/person/1007
1018,Mr,Francis,Wurtz,,,male,France,Strasbourg,03/01/1948 01:00,,https://www.europarl.europa.eu/mepphoto/1018.jpg,,,,,,,https://data.europarl.europa.eu/person/1018
1023,Mr,Jean-Marie,Le Pen,,,male,France,La Trinité-sur-Mer (Morbihan),20/06/1928 01:00,,https://www.europarl.europa.eu/mepphoto/1023.jpg,,,,,,,https://data.europarl.europa.eu/person/1023
1024,Mr,Alain,Madelin,,,male,France,Paris,26/03/1946 01:00,,https://www.europarl.europa.eu/mepphoto/1024.jpg,,,,,,,https://data.europarl.europa.eu/person/1024
1026,Mr,Jean-Louis,Bourlanges,,,male,France,Neuilly,13/07/1946 12:00,,https://www.europarl.europa.eu/mepphoto/1026.jpg,,,,,,,https://data.europarl.europa.eu/person/1026
1033,Mr,Alonso José,Puerta,,,male,Estonia,Avilés (Asturias),24/03/1944 01:00,,https://www.europarl.europa.eu/mepphoto/1033.jpg,,,,,,,https://data.europarl.europa.eu/person/1033
1037,Mr,Reimer,Böge,,,male,Germany,Hasenmoor,18/12/1951 01:00,,https://www.europarl.europa.eu/mepphoto/1037.jpg,,,,,,,https://data.europarl.europa.eu/person/1037
1038,Mr,Karl-Heinz,Florenz,,,male,Germany,Neukirchen-Vluyn,22/10/1947 01:00,,https://www.europarl.europa.eu/mepphoto/1038.jpg,,,,,,,https://data.europarl.europa.eu/person/1038
1040,Mr,Friedrich-Wilhelm,Graefe zu Baringdorf,,,male,Germany,Spenge,29/11/1942 01:00,,https://www.europarl.europa.eu/mepphoto/1040.jpg,,,,,,,https://data.europarl.europa.eu/person/1040
1041,Mr,Winfried,Menrad,,,male,Germany,Schwäbisch Gmünd,10/02/1939 01:00,26/08/2016 12:00,https://www.europarl.europa.eu/mepphoto/1041.jpg,,,,,,,https://data.europarl.europa.eu/person/1041
1051,Mr,Mihail,PAPAYANNAKIS,??????,?????????????,male,Greece,Kalamata,19/08/1941 12:00,26/05/2009 12:00,https://www.europarl.europa.eu/mepphoto/1051.jpg,,,,,,,https://data.europarl.europa.eu/person/1051
1055,Ms,Godelieve,Quisthoudt-Rowohl,,,female,Germany,Etterbeek (Belgien),18/06/1947 01:00,,https://www.europarl.europa.eu/mepphoto/1055.jpg,,,,,,,https://data.europarl.europa.eu/person/1055
1059,Ms,Hiltrud,Breyer,,,female,Germany,Saarbrücken,22/08/1957 01:00,,https://www.europarl.europa.eu/mepphoto/1059.jpg,,,,,,,https://data.europarl.europa.eu/person/1059
1061,Ms,Lissy,Gröner,,,female,Germany,Langenfeld,31/05/1954 01:00,,https://www.europarl.europa.eu/mepphoto/1061.jpg,,,,,,,https://data.europarl.europa.eu/person/1061
1062,Ms,Karin,Junker,,,female,Germany,Düsseldorf,24/12/1940 12:00,,https://www.europarl.europa.eu/mepphoto/1062.jpg,,,,,,,https://data.europarl.europa.eu/person/1062
1063,Ms,Hedwig,Keppelhoff-Wiechert,,,female,Germany,Südlohn,31/05/1939 01:00,,https://www.europarl.europa.eu/mepphoto/1063.jpg,,,,,,,https://data.europarl.europa.eu/person/1063
1065,Ms,Pasqualina,Napoletano,,,female,Italy,Molfetta (Bari),28/09/1949 01:00,,https://www.europarl.europa.eu/mepphoto/1065.jpg,,,,,,,https://data.europarl.europa.eu/person/1065
1067,Ms,Ulla Margrethe,Sandbæk,,,female,Denmark,Viborg,01/04/1943 12:00,,https://www.europarl.europa.eu/mepphoto/1067.jpg,,,,,,,https://data.europarl.europa.eu/person/1067
1073,Ms,Cristiana,Muscardini,,,female,Italy,Cannobio (Verbania),06/11/1948 01:00,,https://www.europarl.europa.eu/mepphoto/1073.jpg,,,,,,,https://data.europarl.europa.eu/person/1073
1076,Mr,Günter,Lüttge,,,male,Germany,Hannover,08/07/1938 01:00,07/09/2000 12:00,https://www.europarl.europa.eu/mepphoto/1076.jpg,,,,,,,https://data.europarl.europa.eu/person/1076
1103,Mr,Giorgio,Napolitano,,,male,Italy,Napoli,29/06/1925 01:00,,https://www.europarl.europa.eu/mepphoto/1103.jpg,,,,,,,https://data.europarl.europa.eu/person/1103
1106,Mr,Renzo,Imbeni,,,male,Italy,Modena,12/10/1944 01:00,22/02/2005 01:00,https://www.europarl.europa.eu/mepphoto/1106.jpg,,,,,,,https://data.europarl.europa.eu/person/1106
1113,Mr,Jas,Gawronski,,,male,Italy,Vienna (Austria),07/02/1936 02:00,,https://www.europarl.europa.eu/mepphoto/1113.jpg,,,,,,,https://data.europarl.europa.eu/person/1113
1122,Ms,Ria,Oomen-Ruijten,,,female,Netherlands,Echt,06/09/1950 01:00,,https://www.europarl.europa.eu/mepphoto/1122.jpg,,,,,,,https://data.europarl.europa.eu/person/1122
1123,Ms,Karla M.H.,Peijs,,,female,Netherlands,Tilburg,01/09/1944 12:00,,https://www.europarl.europa.eu/mepphoto/1123.jpg,,,,,,,https://data.europarl.europa.eu/person/1123
1133,Ms,Sylviane H.,Ainardi,,,female,France,Ugines (Savoie),19/12/1947 01:00,,https://www.europarl.europa.eu/mepphoto/1133.jpg,,,,,,,https://data.europarl.europa.eu/person/1133
1164,Mr,Bruno,Gollnisch,,,male,France,Neuilly-sur-Seine,28/01/1950 01:00,,https://www.europarl.europa.eu/mepphoto/1164.jpg,,,,,,,https://data.europarl.europa.eu/person/1164
1167,Mr,Philippe A.R.,Herzog,,,male,France,Bruay,06/03/1940 01:00,,https://www.europarl.europa.eu/mepphoto/1167.jpg,,,,,,,https://data.europarl.europa.eu/person/1167
1175,Mr,Gérard,Caudron,,,male,France,Royaucourt et Chailvet,27/02/1945 01:00,,https://www.europarl.europa.eu/mepphoto/1175.jpg,,,,,,,https://data.europarl.europa.eu/person/1175
1183,Ms,Dagmar,Roth-Behrendt,,,female,Germany,Frankfurt/Main,21/02/1953 01:00,,https://www.europarl.europa.eu/mepphoto/1183.jpg,,,,,,,https://data.europarl.europa.eu/person/1183
1184,Ms,Colette,Flesch,,,female,Luxembourg,Dudelange,16/04/1937 01:00,,https://www.europarl.europa.eu/mepphoto/1184.jpg,,,,,,,https://data.europarl.europa.eu/person/1184
1185,Ms,Viviane,Reding,,,female,Luxembourg,Esch-sur-Alzette,27/04/1951 01:00,,https://www.europarl.europa.eu/mepphoto/1185.jpg,,,,,,,https://data.europarl.europa.eu/person/1185
1186,Ms,Astrid,Lulling,,,female,Luxembourg,Schifflange,11/06/1929 01:00,,https://www.europarl.europa.eu/mepphoto/1186.jpg,,,,,,,https://data.europarl.europa.eu/person/1186
