mep_identifier,mep_honorific_prefix,mep_given_name,mep_family_name,mep_official_given_name,mep_official_family_name,mep_gender,mep_citizenship,mep_place_of_birth,mep_birthday,mep_death_date,mep_image,mep_email,mep_homepage,mep_twitter,mep_facebook_page,mep_facebook_profile,mep_instagram,mep_URI
840,Mr,Charles,Goerens,,,male,Luxembourg,Ettelbruck,06/02/1952 01:00,,https://www.europarl.europa.eu/mepphoto/840.jpg,mailto:charles.goerens@europarl.europa.eu,https://charlesgoerens.eu/,https://twitter.com/CharlesGoerens,https://www.facebook.com/charles.goerens,,https://www.instagram.com/cgoerens/?hl=fr,https://data.europarl.europa.eu/person/840
988,Mr,Carlo,Casini,,,male,Italy,Firenze,04/03/1935 02:00,23/03/2020 01:00,https://www.europarl.europa.eu/mepphoto/988.jpg,,,,,,,https://data.europarl.europa.eu/person/988
997,Mr,Francesco Enrico,Speroni,,,male,Italy,Busto Arsizio,04/10/1946 12:00,,https://www.europarl.europa.eu/mepphoto/997.jpg,,,,,,,https://data.europarl.europa.eu/person/997
1023,Mr,Jean-Marie,Le Pen,,,male,France,La Trinité-sur-Mer (Morbihan),20/06/1928 01:00,,https://www.europarl.europa.eu/mepphoto/1023.jpg,,,,,,,https://data.europarl.europa.eu/person/1023
1037,Mr,Reimer,Böge,,,male,Germany,Hasenmoor,18/12/1951 01:00,,https://www.europarl.europa.eu/mepphoto/1037.jpg,,,,,,,https://data.europarl.europa.eu/person/1037
1038,Mr,Karl-Heinz,Florenz,,,male,Germany,Neukirchen-Vluyn,22/10/1947 01:00,,https://www.europarl.europa.eu/mepphoto/1038.jpg,,,,,,,https://data.europarl.europa.eu/person/1038
1055,Ms,Godelieve,Quisthoudt-Rowohl,,,female,Germany,Etterbeek (Belgien),18/06/1947 01:00,,https://www.europarl.europa.eu/mepphoto/1055.jpg,,,,,,,https://data.europarl.europa.eu/person/1055
1059,Ms,Hiltrud,Breyer,,,female,Germany,Saarbrücken,22/08/1957 01:00,,https://www.europarl.europa.eu/mepphoto/1059.jpg,,,,,,,https://data.europarl.europa.eu/person/1059
1073,Ms,Cristiana,Muscardini,,,female,Italy,Cannobio (Verbania),06/11/1948 01:00,,https://www.europarl.europa.eu/mepphoto/1073.jpg,,,,,,,https://data.europarl.europa.eu/person/1073
1122,Ms,Ria,Oomen-Ruijten,,,female,Netherlands,Echt,06/09/1950 01:00,,https://www.europarl.europa.eu/mepphoto/1122.jpg,,,,,,,https://data.europarl.europa.eu/person/1122
